Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Commercial,,,,,,,,,,,,,
,,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017
Alabama,AL,0.1003,0.06916666666666667,0.07626666666666666,0.04013333333333333,0.04243333333333334,0.0358,0.0349,0.0369,0.04106666666666667,0.06616666666666667,0.0863,0.1302666666666667
Alaska ,AK,0.07806666666666667,0.0619,0.0684,0.03843333333333333,0.0285,0.01766666666666667,0.01666666666666667,0.01833333333333333,0.02363333333333333,0.03963333333333333,0.06103333333333334,0.0659
Arizona,AZ,0.1336,0.1136,0.0982,0.0846,0.07623333333333333,0.0656,0.06213333333333333,0.06246666666666666,0.06386666666666667,0.07223333333333333,0.08506666666666667,0.1228
Arkansas,AR,0.2151333333333333,0.1543333333333333,0.1499333333333333,0.1036,0.1029333333333333,0.09163333333333333,0.0902,0.09663333333333333,0.0973,0.1228666666666667,0.1452,0.2135666666666667
California,CA,0.9987666666666667,0.7469333333333333,0.6656,0.5754333333333334,0.5412,0.4926666666666666,0.5055333333333333,0.5399,0.5354666666666666,0.6464,0.7246333333333334,0.9395
Colorado,CO,0.3148666666666667,0.2069666666666667,0.1736666666666667,0.1347,0.1022666666666667,0.05803333333333333,0.05463333333333333,0.05713333333333333,0.0627,0.126,0.1795,0.2875333333333333
Connecticut,CT,0.2501333333333333,0.2110666666666667,0.2342,0.1272666666666667,0.09106666666666667,0.0771,0.08123333333333334,0.08063333333333333,0.08296666666666666,0.0932,0.1745333333333333,0.2470666666666667
Delaware,DE,0.06283333333333334,0.05013333333333334,0.05643333333333334,0.02503333333333333,0.02403333333333333,0.0187,0.01663333333333333,0.0191,0.02173333333333333,0.02786666666666667,0.0488,0.0742
District of Columbia,DC,0.0709,0.05376666666666666,0.06086666666666667,0.03626666666666667,0.03363333333333333,0.02823333333333333,0.02783333333333333,0.0275,0.02716666666666667,0.03336666666666667,0.0461,0.08903333333333334
Florida,FL,0.2033,0.1781333333333333,0.1905333333333333,0.1763333333333333,0.1626666666666667,0.1548666666666667,0.1464666666666667,0.1466,0.1464333333333333,0.1618333333333333,0.1755666666666667,0.201
Georgia,GA,0.2421,0.1730333333333333,0.1806666666666667,0.0939,0.08643333333333333,0.07383333333333333,0.07213333333333333,0.0737,0.07436666666666666,0.1108,0.1741333333333333,0.2846333333333333
Hawaii,HI,0.007533333333333334,0.006666666666666667,0.007033333333333333,0.0067,0.0064,0.007133333333333334,0.006466666666666667,0.006733333333333333,0.0066,0.006666666666666667,0.0068,0.006766666666666666
Idaho,ID,0.1256333333333333,0.08306666666666666,0.05883333333333333,0.045,0.03196666666666666,0.02396666666666667,0.02346666666666667,0.0244,0.03143333333333333,0.0498,0.06413333333333333,0.0975
Illinois,IL,1.178933333333333,0.8162,0.8639666666666667,0.4507333333333333,0.4210666666666666,0.2520666666666667,0.2563666666666667,0.2684666666666667,0.2939333333333333,0.4565,0.7419,1.197733333333333
Indiana,IN,0.4238666666666667,0.2784333333333333,0.3089333333333333,0.1473,0.1207,0.08123333333333334,0.07436666666666666,0.07966666666666666,0.09216666666666666,0.1665333333333333,0.2801333333333333,0.4570666666666667
Iowa,IA,0.2776333333333333,0.2001,0.1933,0.1092333333333333,0.0761,0.05843333333333333,0.05326666666666666,0.05266666666666667,0.0601,0.1199,0.194,0.2623333333333333
Kansas,KS,0.1935,0.1151333333333333,0.1147333333333333,0.08453333333333334,0.059,0.05216666666666667,0.0526,0.0581,0.0561,0.07713333333333333,0.1102666666666667,0.1762
Kentucky,KY,0.1794,0.1271666666666667,0.1294333333333333,0.05533333333333333,0.04456666666666666,0.03666666666666667,0.03473333333333333,0.03786666666666667,0.04593333333333333,0.06816666666666667,0.1253666666666667,0.2086
Louisiana,LA,0.1056,0.07623333333333333,0.08626666666666667,0.06856666666666666,0.06746666666666666,0.06416666666666666,0.05966666666666667,0.06356666666666666,0.05983333333333334,0.0733,0.08823333333333333,0.1309666666666667
Maine,ME,0.04346666666666667,0.03833333333333333,0.04303333333333333,0.02316666666666667,0.0154,0.0102,0.009633333333333334,0.009666666666666667,0.009966666666666667,0.01273333333333333,0.0313,0.0506
Maryland,MD,0.3457333333333333,0.2678666666666666,0.3209333333333333,0.1428,0.1405,0.1008333333333333,0.1180333333333333,0.1088,0.1079,0.1283333333333333,0.2435333333333333,0.3839666666666667
Massachusetts,MA,0.5184666666666666,0.4429666666666667,0.5384666666666666,0.2465666666666667,0.1953,0.1322666666666667,0.1277333333333333,0.1358666666666667,0.1414333333333333,0.1822333333333333,0.3897333333333333,0.5979666666666666
Michigan,MI,0.8683,0.6916333333333333,0.7286333333333334,0.3732666666666667,0.2931,0.1988666666666667,0.1681666666666667,0.1803,0.1984,0.2757666666666667,0.5632333333333334,0.8815
Minnesota,MN,0.5647666666666666,0.4297666666666667,0.4101666666666667,0.2488333333333333,0.1617666666666667,0.1039,0.09533333333333334,0.09556666666666666,0.1022,0.1830333333333333,0.3712666666666667,0.5586333333333333
