"Natural Gas Consumption by End-Use Sector and Census Division"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=77-AEO2017&cases=ref2017&sid=ref2017-d120816a.7-2-AEO2017.1-0~ref2017-d120816a.37-2-AEO2017.1-0~ref2017-d120816a.21-2-AEO2017.1-0~ref2017-d120816a.133-2-AEO2017.1-0&sourcekey=0"
"Sun Oct 14 2018 23:26:42 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2016-2050)"
East North Central,"Natural Gas Use: Transportation: East North Central": Reference case,77-AEO2017.49.ref2017-d120816a,"Tcf",0.009362,0.010794,0.012484,0.013927,0.015354,0.016678,0.017893,0.019112,0.020419,0.021964,0.023747,0.025604,0.027735,0.030027,0.032227,0.034407,0.036463,0.038386,0.040404,0.042372,0.044382,0.046282,0.048201,0.05011,0.052181,0.054029,0.056128,0.058306,0.060549,0.062812,0.065059,0.067365,0.069694,0.072086,0.07462,0.077294,"6.0%"
West North Central,"Natural Gas Use: Transportation: West North Central": Reference case,77-AEO2017.50.ref2017-d120816a,"Tcf",0.005651,0.006585,0.007693,0.008595,0.009417,0.010178,0.010892,0.011608,0.012383,0.01335,0.014503,0.015746,0.01722,0.018875,0.020476,0.022049,0.023541,0.024972,0.026487,0.028003,0.029554,0.031049,0.032579,0.034142,0.035811,0.037345,0.039006,0.040714,0.042479,0.044265,0.04605,0.047881,0.049726,0.05161,0.053632,0.05577,"6.5%"
South Atlantic,"Natural Gas Use: Transportation: South Atlantic": Reference case,77-AEO2017.51.ref2017-d120816a,"Tcf",0.010392,0.011858,0.01361,0.015258,0.01691,0.018888,0.020362,0.021829,0.023441,0.025243,0.027286,0.029305,0.031476,0.033763,0.036003,0.038284,0.04046,0.042508,0.044569,0.046649,0.048732,0.050784,0.052725,0.054679,0.056839,0.058797,0.060808,0.062827,0.064904,0.067016,0.069109,0.071262,0.073473,0.075682,0.078051,0.08055,"5.8%"
East South Central,"Natural Gas Use: Transportation: East South Central": Reference case,77-AEO2017.52.ref2017-d120816a,"Tcf",0.004295,0.004896,0.005839,0.006436,0.007171,0.007799,0.008322,0.008823,0.009337,0.009944,0.010652,0.01139,0.012257,0.013197,0.014096,0.014991,0.015816,0.016572,0.017396,0.018195,0.019032,0.019821,0.02063,0.021436,0.022365,0.023155,0.02407,0.024996,0.025967,0.026967,0.027968,0.029022,0.030091,0.0312,0.0324,0.033688,"5.8%"
West South Central,"Natural Gas Use: Transportation: West South Central": Reference case,77-AEO2017.53.ref2017-d120816a,"Tcf",0.008371,0.009547,0.011087,0.012363,0.01359,0.015265,0.016469,0.017697,0.019008,0.020548,0.02239,0.024356,0.026558,0.028916,0.031252,0.03364,0.035884,0.038047,0.040168,0.042385,0.044565,0.046761,0.048822,0.050893,0.053206,0.055288,0.057353,0.059403,0.061512,0.063667,0.065805,0.068024,0.070345,0.072618,0.075108,0.077831,"6.4%"
Mountain,"Natural Gas Use: Transportation: Mountain": Reference case,77-AEO2017.54.ref2017-d120816a,"Tcf",0.005809,0.006769,0.007887,0.008867,0.009811,0.010782,0.011752,0.012801,0.013972,0.01554,0.017577,0.01983,0.022565,0.025576,0.028473,0.031313,0.033877,0.036162,0.038689,0.040992,0.043456,0.045667,0.047922,0.050026,0.052636,0.054471,0.056724,0.058982,0.061268,0.063558,0.065823,0.068116,0.070387,0.072677,0.075082,0.077596,"7.4%"
Pacific,"Natural Gas Use: Transportation: Pacific": Reference case,77-AEO2017.55.ref2017-d120816a,"Tcf",0.009735,0.010745,0.011977,0.012851,0.014209,0.015961,0.016918,0.017818,0.018752,0.019675,0.02059,0.021641,0.022866,0.024137,0.02536,0.026596,0.027761,0.028857,0.029916,0.031025,0.032094,0.033332,0.034539,0.035796,0.037066,0.038345,0.03963,0.040922,0.042271,0.043653,0.045033,0.046489,0.04798,0.049468,0.051107,0.05287,"4.8%"
All Sectors,"Natural Gas Use: All Sectors: Total": Reference case,77-AEO2017.57.ref2017-d120816a,"Tcf",25.037643,25.428814,25.523945,25.690329,25.351196,24.729557,24.593391,24.555637,24.669111,25.040831,25.457932,25.825897,25.945335,26.153286,26.383957,26.533506,26.501793,26.706303,26.83699,27.213203,27.63839,27.798151,28.107628,28.387646,28.640404,28.789547,29.031681,29.248703,29.425566,29.703758,30.004826,30.259232,30.537485,30.732061,30.910322,31.344921,"0.6%"
New England,"Natural Gas Use: All Sectors: New England": Reference case,77-AEO2017.58.ref2017-d120816a,"Tcf",0.884916,0.885025,0.964237,0.875231,0.856166,0.852121,0.80867,0.767415,0.75785,0.770833,0.794861,0.808255,0.832579,0.840455,0.836969,0.831726,0.820035,0.826052,0.825887,0.823677,0.831448,0.837664,0.844083,0.838932,0.833243,0.826309,0.829214,0.82086,0.836215,0.826617,0.826656,0.837262,0.845501,0.845832,0.855806,0.870439,"-0.0%"
Middle Atlantic,"Natural Gas Use: All Sectors: Middle Atlantic": Reference case,77-AEO2017.59.ref2017-d120816a,"Tcf",3.167527,3.155439,3.334403,3.332222,3.278294,3.230473,3.203013,3.181955,3.181133,3.214848,3.277749,3.323863,3.40413,3.370063,3.36719,3.369078,3.334958,3.345256,3.358224,3.41207,3.482842,3.491712,3.505985,3.516307,3.493934,3.51708,3.515958,3.573072,3.585721,3.640311,3.665173,3.670345,3.703012,3.723507,3.745538,3.802631,"0.6%"
East North Central,"Natural Gas Use: All Sectors: East North Central": Reference case,77-AEO2017.60.ref2017-d120816a,"Tcf",3.855754,3.957123,3.998873,4.097223,4.053771,4.010076,4.020838,3.982802,4.012889,4.079495,4.142359,4.224612,4.276891,4.368741,4.43541,4.533919,4.582355,4.645037,4.662198,4.742332,4.789629,4.805298,4.909168,4.979201,5.016322,5.038887,5.078124,5.094074,5.120344,5.148684,5.167335,5.183351,5.20363,5.226783,5.235673,5.333642,"0.9%"
West North Central,"Natural Gas Use: All Sectors: West North Central": Reference case,77-AEO2017.61.ref2017-d120816a,"Tcf",1.626861,1.586876,1.603441,1.570134,1.584589,1.581392,1.591904,1.607534,1.61711,1.632251,1.634396,1.634557,1.640673,1.652498,1.651572,1.654832,1.65862,1.664301,1.666334,1.670003,1.688534,1.697153,1.708096,1.721866,1.735103,1.743368,1.754435,1.764391,1.778576,1.787024,1.801597,1.814818,1.833351,1.852075,1.849465,1.865581,"0.5%"
South Atlantic,"Natural Gas Use: All Sectors: South Atlantic": Reference case,77-AEO2017.62.ref2017-d120816a,"Tcf",3.585496,3.555843,3.532169,3.573206,3.550205,3.47734,3.50387,3.465443,3.51222,3.639866,3.712823,3.724026,3.684483,3.710037,3.759149,3.757632,3.744441,3.744109,3.763387,3.843894,3.959747,3.98454,3.954566,3.996178,4.057946,4.02558,4.099895,4.142053,4.18541,4.244846,4.355733,4.441253,4.541239,4.610994,4.620664,4.70125,"0.8%"
East South Central,"Natural Gas Use: All Sectors: East South Central": Reference case,77-AEO2017.63.ref2017-d120816a,"Tcf",1.663555,1.778589,1.760456,1.724303,1.573577,1.479755,1.473067,1.558076,1.614054,1.611973,1.64344,1.637535,1.690569,1.721728,1.74712,1.742566,1.770364,1.778064,1.771704,1.776581,1.791421,1.79236,1.811888,1.817142,1.817149,1.804831,1.80887,1.809838,1.809775,1.815375,1.799912,1.808156,1.796567,1.773319,1.777053,1.793308,"0.0%"
West South Central,"Natural Gas Use: All Sectors: West South Central": Reference case,77-AEO2017.64.ref2017-d120816a,"Tcf",5.845465,6.149618,6.180808,6.226509,6.19912,6.011192,5.995697,6.111518,6.180527,6.274163,6.305913,6.439851,6.511784,6.581571,6.659696,6.707039,6.659188,6.735883,6.798313,6.926005,7.049228,7.148583,7.288629,7.397211,7.521451,7.617995,7.690479,7.761444,7.807334,7.87225,7.97169,8.035474,8.095344,8.134797,8.21935,8.323461,"0.9%"
Mountain,"Natural Gas Use: All Sectors: Mountain": Reference case,77-AEO2017.65.ref2017-d120816a,"Tcf",1.537988,1.388261,1.397011,1.345177,1.365063,1.294591,1.235697,1.157441,1.165531,1.196363,1.234682,1.246208,1.276272,1.261066,1.28728,1.295791,1.298983,1.313745,1.317453,1.325855,1.33101,1.30782,1.320944,1.329522,1.340846,1.37606,1.38906,1.408766,1.406935,1.44424,1.461415,1.481725,1.511507,1.541853,1.562576,1.584948,"0.4%"
Pacific,"Natural Gas Use: All Sectors: Pacific": Reference case,77-AEO2017.66.ref2017-d120816a,"Tcf",2.870081,2.972038,2.752545,2.946326,2.890413,2.792617,2.760638,2.723453,2.627798,2.621037,2.711709,2.78699,2.627957,2.647128,2.639568,2.640922,2.632849,2.653857,2.67349,2.692787,2.71453,2.733018,2.764273,2.791286,2.824411,2.839436,2.865643,2.874206,2.895255,2.924413,2.955316,2.986847,3.007336,3.0229,3.044194,3.069663,"0.1%" 
