"Natural Gas Consumption by End-Use Sector and Census Division"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=77-AEO2017&cases=ref2017&sid=ref2017-d120816a.7-2-AEO2017.1-0~ref2017-d120816a.37-2-AEO2017.1-0~ref2017-d120816a.21-2-AEO2017.1-0~ref2017-d120816a.133-2-AEO2017.1-0&sourcekey=0"
"Sun Oct 14 2018 23:26:42 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2016-2050)"
East South Central,"Natural Gas Use: Residential: East South Central": Reference case,77-AEO2017.8.ref2017-d120816a,"Tcf",0.168094,0.165534,0.170213,0.170492,0.169023,0.167546,0.166575,0.166095,0.165698,0.165217,0.16464,0.163919,0.16313,0.162351,0.161527,0.160746,0.159953,0.159059,0.158226,0.15744,0.156596,0.155791,0.154984,0.154258,0.153558,0.152971,0.152458,0.15197,0.151431,0.150958,0.150519,0.150137,0.14983,0.149454,0.149103,0.148741,"-0.3%"
West South Central,"Natural Gas Use: Residential: West South Central": Reference case,77-AEO2017.9.ref2017-d120816a,"Tcf",0.32534,0.294593,0.323002,0.333142,0.333281,0.333017,0.334148,0.336383,0.338659,0.340709,0.342332,0.343388,0.344344,0.345088,0.345609,0.346384,0.346948,0.347304,0.347795,0.348424,0.348732,0.349248,0.349871,0.3507,0.351566,0.352712,0.354024,0.355263,0.356436,0.357808,0.359324,0.360766,0.362398,0.363838,0.365392,0.366969,"0.6%"
Mountain,"Natural Gas Use: Residential: Mountain": Reference case,77-AEO2017.10.ref2017-d120816a,"Tcf",0.341631,0.351621,0.352992,0.367074,0.36888,0.371878,0.37488,0.378202,0.381529,0.384732,0.387311,0.389496,0.391886,0.394321,0.396692,0.399337,0.401907,0.40408,0.406141,0.40828,0.410343,0.412291,0.414183,0.416513,0.418909,0.421596,0.424439,0.427415,0.430292,0.433286,0.436237,0.439422,0.442507,0.445399,0.448171,0.451086,"0.7%"
Pacific,"Natural Gas Use: Residential: Pacific": Reference case,77-AEO2017.11.ref2017-d120816a,"Tcf",0.532639,0.537961,0.561565,0.597391,0.597182,0.598016,0.59902,0.600349,0.601794,0.603167,0.603351,0.603015,0.59673,0.592372,0.590398,0.590457,0.589501,0.588311,0.587257,0.586482,0.585515,0.584358,0.583446,0.58274,0.582365,0.582194,0.582357,0.582645,0.583154,0.583632,0.584214,0.584953,0.585765,0.586325,0.586823,0.587363,"0.3%"
Commercial,"Natural Gas Use: Commercial: Total": Reference case,77-AEO2017.13.ref2017-d120816a,"Tcf",3.198791,3.126697,3.222708,3.215849,3.172224,3.132156,3.114504,3.118935,3.125005,3.130883,3.136668,3.143673,3.143592,3.146733,3.154298,3.167764,3.18339,3.201596,3.222795,3.243651,3.260101,3.278438,3.298357,3.321315,3.345002,3.372598,3.401132,3.429225,3.45725,3.487208,3.51671,3.546553,3.577461,3.606926,3.637575,3.667755,"0.5%"
New England,"Natural Gas Use: Commercial: New England": Reference case,77-AEO2017.14.ref2017-d120816a,"Tcf",0.186867,0.180601,0.187166,0.183015,0.178842,0.174389,0.170725,0.170815,0.170764,0.170928,0.171323,0.171974,0.172668,0.173223,0.17379,0.174574,0.175619,0.176754,0.178012,0.179111,0.180148,0.181238,0.182405,0.183693,0.184795,0.186331,0.187831,0.189331,0.190829,0.192307,0.193519,0.194626,0.195797,0.196856,0.197853,0.199221,"0.3%"
Middle Atlantic,"Natural Gas Use: Commercial: Middle Atlantic": Reference case,77-AEO2017.15.ref2017-d120816a,"Tcf",0.648247,0.625574,0.659649,0.65881,0.657318,0.654685,0.656567,0.656433,0.656891,0.659047,0.663155,0.669126,0.67538,0.681304,0.68741,0.694533,0.702455,0.710997,0.720026,0.72852,0.736011,0.743849,0.752591,0.761851,0.771637,0.782546,0.793476,0.804248,0.814725,0.825094,0.83514,0.844986,0.855543,0.866265,0.877003,0.887147,"1.0%"
East North Central,"Natural Gas Use: Commercial: East North Central": Reference case,77-AEO2017.16.ref2017-d120816a,"Tcf",0.720136,0.698048,0.72022,0.708511,0.689297,0.671521,0.658936,0.65853,0.658331,0.657888,0.657267,0.656528,0.65523,0.653778,0.652885,0.653397,0.654735,0.656556,0.659209,0.661453,0.661687,0.663071,0.665006,0.667891,0.67082,0.674618,0.678478,0.681811,0.684896,0.688303,0.6916,0.69523,0.698805,0.701809,0.705498,0.709142,"0.0%"
West North Central,"Natural Gas Use: Commercial: West North Central": Reference case,77-AEO2017.17.ref2017-d120816a,"Tcf",0.299462,0.296652,0.305136,0.299568,0.289481,0.279823,0.272961,0.273016,0.273277,0.273199,0.272722,0.27199,0.271434,0.27096,0.270504,0.270301,0.270342,0.270635,0.271221,0.271889,0.272227,0.272582,0.27314,0.273932,0.274708,0.275652,0.276645,0.277568,0.278353,0.279358,0.280308,0.281322,0.282328,0.283168,0.284179,0.285225,"-0.1%"
South Atlantic,"Natural Gas Use: Commercial: South Atlantic": Reference case,77-AEO2017.18.ref2017-d120816a,"Tcf",0.373714,0.373333,0.376985,0.376787,0.376435,0.376654,0.37825,0.379186,0.380275,0.380942,0.38138,0.381717,0.381131,0.381558,0.382852,0.384341,0.386058,0.388197,0.390513,0.393075,0.395269,0.397704,0.399412,0.401455,0.403992,0.407133,0.410448,0.413862,0.417681,0.422057,0.426782,0.431503,0.436406,0.44116,0.445952,0.450353,"0.6%"
East South Central,"Natural Gas Use: Commercial: East South Central": Reference case,77-AEO2017.19.ref2017-d120816a,"Tcf",0.127407,0.128259,0.129468,0.127975,0.124791,0.121757,0.119889,0.120095,0.120405,0.120537,0.120579,0.120517,0.120456,0.120483,0.120532,0.120672,0.120859,0.121125,0.121549,0.122014,0.122352,0.122731,0.123148,0.123645,0.124146,0.124751,0.12542,0.126092,0.126737,0.127531,0.128327,0.129201,0.130175,0.131117,0.132152,0.1332,"0.1%"
West South Central,"Natural Gas Use: Commercial: West South Central": Reference case,77-AEO2017.20.ref2017-d120816a,"Tcf",0.285209,0.271656,0.285287,0.291588,0.291342,0.290098,0.292277,0.293207,0.294284,0.294746,0.294852,0.294675,0.294642,0.294808,0.295136,0.295804,0.296542,0.297497,0.298879,0.300379,0.30151,0.302819,0.304312,0.306032,0.307768,0.309777,0.311949,0.314093,0.316259,0.318912,0.321612,0.324332,0.327061,0.329601,0.332403,0.335232,"0.6%"
Mountain,"Natural Gas Use: Commercial: Mountain": Reference case,77-AEO2017.21.ref2017-d120816a,"Tcf",0.222963,0.223497,0.22272,0.21953,0.210894,0.203164,0.196621,0.197405,0.197841,0.198048,0.197657,0.19711,0.196979,0.197133,0.197418,0.197955,0.198663,0.199378,0.200119,0.200838,0.201443,0.201925,0.202457,0.203247,0.204101,0.205056,0.206165,0.207325,0.208458,0.209673,0.210832,0.212075,0.213317,0.214398,0.215493,0.216676,"-0.1%"
Pacific,"Natural Gas Use: Commercial: Pacific": Reference case,77-AEO2017.22.ref2017-d120816a,"Tcf",0.334787,0.329077,0.336076,0.350066,0.353825,0.360064,0.368278,0.370248,0.372937,0.375546,0.377733,0.380035,0.37567,0.373486,0.373772,0.376186,0.378118,0.380457,0.383266,0.386372,0.389454,0.392519,0.395888,0.39957,0.403035,0.406734,0.410718,0.414894,0.419311,0.423973,0.428589,0.43328,0.438029,0.442551,0.44704,0.451558,"0.9%"
Industrial,"Natural Gas Use: Industrial: Total": Reference case,77-AEO2017.24.ref2017-d120816a,"Tcf",7.534593,7.702233,7.786048,8.03575,8.246242,8.326458,8.475301,8.644932,8.774649,8.843928,8.887287,8.922807,8.802119,8.802955,8.813209,8.836416,8.845622,8.901771,8.956292,9.03055,9.087636,9.182052,9.24605,9.304851,9.401862,9.468336,9.515168,9.561182,9.60876,9.680044,9.7483,9.81585,9.884206,9.934684,10.027025,10.111935,"0.8%"
New England,"Natural Gas Use: Industrial: New England": Reference case,77-AEO2017.25.ref2017-d120816a,"Tcf",0.101699,0.107631,0.10744,0.110252,0.111446,0.112047,0.114209,0.116247,0.118359,0.119817,0.120562,0.120589,0.120769,0.120589,0.120563,0.120652,0.121076,0.121728,0.122638,0.123615,0.124136,0.124953,0.126053,0.127439,0.128639,0.130077,0.131388,0.132491,0.13373,0.134838,0.135944,0.137134,0.138468,0.139858,0.141504,0.143106,"0.8%"
Middle Atlantic,"Natural Gas Use: Industrial: Middle Atlantic": Reference case,77-AEO2017.26.ref2017-d120816a,"Tcf",0.389022,0.405864,0.4033,0.417728,0.431447,0.434198,0.441595,0.442356,0.437031,0.433671,0.437245,0.435146,0.433182,0.430865,0.430931,0.431425,0.431359,0.433111,0.441122,0.446075,0.447245,0.44882,0.451697,0.455816,0.458566,0.464523,0.469222,0.473757,0.47811,0.48353,0.487834,0.493276,0.497505,0.503359,0.509722,0.514704,"0.7%"
