Select Report Version: Canada’s Energy Future 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
Select Appendices: End - Use Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Select Case: Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Select Sector: Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0
Electricity,36.46,34.28,33.98,33.16,34.32,34.08,35.76,36.05,34.8,35.57,36.97,40.08,40.46,41.3,40.65,42.92,44.58,45.41,47.6,48.44,48.71,48.4,48.37,48.66,47.18,49.14,50.8,50.26,51.47,51.73,51.48,52.05,52.8,53.36,53.89,54.34
Natural Gas,16.79,17.01,15.66,15.81,13.73,13.41,12.52,11.53,11.43,12.37,11.14,10.91,12.21,12.65,12.95,13.51,14.14,14.7,14.67,14.63,14.64,14.62,14.6,14.6,14.59,14.59,14.58,14.57,14.56,14.55,14.54,14.53,14.53,14.52,14.53,14.54
