,AB,BC,MB,NB,NL,NT,NS,NU,ON,PE,QC,SK,YT,MNW,MNE,MIW,MIN,MSW,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
QC,3024.7202424314023,3694.209758470914,1826.0092937419467,687.8440498017178,1614.417062245244,3193.029965392075,794.4730890067126,2057.1205944832195,502.32063763896724,817.0885425579914,0.0,2512.1121873701136,4258.629261669872,3709.8065006130287,3716.7539224784596,3692.6343443827627,3723.25919899137,3089.859426995438,1743.1891302927065,4997.208398752185,3528.789584657713,1981.7998057863672,3971.688731024599,2634.1022923085584,482.20006715236775,658.2755867960972,1823.5349813000314,1596.1913126345798,7911.44621452397,3350.5187685127767,1197.495758242447,1208.0030931551175,1668.179746140847,2149.338430869625,1287.6192330132938,2245.3902898311703,335.59294428677606,732.1861474064791,404.2815293380105,834.8696973472547,1540.5614639784885,2044.829657294162,1862.3940412772658,2698.0822586880445,1862.9399633816254,3609.254270876734,326.9401866535146,530.9552974992331,3011.3840627725594,530.4035652911298,1294.0496445629374,1789.4954483669787,983.4824885811422,2299.7458778643327,3772.6269185264123,628.9212312332581,435.13674437497826,1512.1551908173012,1841.8503393140793,1802.908278351452,2580.4055848596367,3128.249695726289,117.69274259350045,980.2124958086567,3681.8188919976988,1034.7435418310315,1173.3317367922373,2560.676635985518
SK,526.5494385656815,1202.6137459836332,710.9457653729253,3083.1725253348877,3822.2261898698666,1241.1120593937997,3244.80084932566,2546.4639837744985,2229.173393992509,3189.754968663994,2512.1121873701136,0.0,1973.844730435639,3692.0532657375556,2399.1573721662644,2510.9833730047876,3687.24836826932,3758.6711136513295,2610.664327502119,2732.4933587405026,2120.8029620647185,2245.556101580936,2212.3495020771848,1383.4507049800595,2803.2298294058423,2747.2112963628088,3170.0148901472353,2711.535977642753,5540.904243192153,1183.5059991521691,1833.2060547243973,2088.047167271762,1532.8739381848065,1762.0782824097937,2237.789591832599,2815.7165575956988,2845.358780812879,2711.382508439501,2870.2447577895814,2079.6973265692272,1265.7582122007989,2575.560861015149,1722.906153723754,718.1653830124251,1457.2995552235104,1896.4252051801107,2803.7729949668887,2768.0490217450997,1894.085688759389,2780.675431079778,2776.406259092872,922.021809581451,2259.39354084902,1988.0668334659345,1382.1865612293036,2757.4701088649285,2866.260933747069,3040.5768717489195,1208.6126208745065,2302.396169736157,2653.0127675463896,1324.783111420419,2596.063053714721,2937.7224757285676,1230.6752783897348,2469.884186207184,1726.5380155449432,1229.8817013893208
YT,1688.1786632634244,1482.094380783362,2641.665162721954,4684.931927321312,5192.269105092717,1106.7829350002987,4867.6947929014395,3315.325717294232,4092.6165955400425,4762.345107679724,4258.629261669872,1973.8447304356387,0.0,5393.045286852798,3703.666823108858,3874.3246102498533,5382.167637800937,5645.117414770857,4580.83997619022,761.9506922357835,3457.5141389192922,4188.5073890641925,3203.3080776002516,3116.428118011762,4636.772413015626,4629.788105892524,5143.859489985181,4685.379954219311,4723.246416223442,2280.9624139859593,3794.6022283246866,4054.0314288124264,3503.8124147958656,3666.298488713221,4207.900500320857,4750.500263560563,4589.723435244648,4610.865828883023,4653.729049738984,4002.8547869525614,3234.669884604217,4522.508466879166,3674.6265374704585,2398.8559161163835,3413.1004923005858,3074.1068061602714,4579.375326205533,4620.445687649512,3496.9215035751263,4630.960979055192,4739.426678615222,2893.7889845972186,4206.5743451018325,3865.270520360023,1876.581610104623,4633.014568570073,4666.395068336235,5008.429732031463,3174.7306219030884,4264.197267886954,4514.464015231753,2725.6880488223173,4362.373716999805,4857.5956861085215,1673.4426752466788,4420.148731414835,3680.903136747179,2992.440974568465
MNW,3751.414279178996,3953.1739922301895,3382.764960209784,4294.554194004896,5192.4062955617455,4928.826132106017,4294.65133087564,5427.6994089153,3244.6841984003663,4412.649530879423,3709.8065006130287,3692.053265737555,5393.045286852798,0.0,1867.0487420314641,1679.5677743301699,26.00526292598056,982.8396549455815,1969.0833610957113,6049.304161012791,2032.0346275214547,1818.2358939497021,2508.5839385628415,2326.609966930125,3426.0194280330325,3172.3723286765276,2114.774870788764,2140.7906115340297,6122.311159103212,3131.909912439177,2707.2740211888176,2563.7559571240163,2508.0199816373,2030.2749550401181,2442.7122499660595,1466.787710181984,3786.004031375771,3069.4363007628276,3648.322376164762,2945.6841834596303,2881.1130844324553,1670.168985860758,2220.044987974301,3054.441155787066,2436.806111201793,2444.0905964301323,3663.8031626466045,3332.2006113022994,1896.2458216458367,3344.2658701847386,2492.5666094423686,3050.9613242890637,2737.30704715916,1783.515515876148,3627.8987993112487,3212.3050441522805,3581.2979545385465,2397.687758292249,2682.9808800802475,1947.3668999146562,1198.6963167770864,2670.4314300079204,3657.186046250889,2950.782858714446,3777.4586517237576,2679.213599402285,2812.678061509601,2472.6413719439524
MNE,2232.9829292337677,2221.9377159612263,2458.738406251196,4403.579422420508,5328.827449023515,3506.4775735603635,4487.331197943135,4755.516701270552,3222.9940568662587,4533.1501019459165,3716.7539224784587,2399.157372166264,3703.6668231088574,1867.0487420314646,0.0,188.12430627785372,1848.3415447923996,2531.7740178712943,2426.827154149797,4288.185183694101,278.7158038975273,1929.0667919010373,644.3841930696619,1186.095213842093,3676.9495121236855,3465.3940667669267,2942.323018970083,2650.3099900621605,4631.493498786491,1443.9136294229804,2520.979553909651,2568.9784460479423,2055.9869398491674,1575.3550389578568,2567.120756231333,2147.856546668496,3946.9146853793372,3370.033201010612,3866.856791297059,2896.2066148261815,2282.8726219994214,2112.9519824583085,1858.926180189564,1681.6867422291848,1869.365248685556,630.3725365758636,3841.817841257584,3591.4561592259834,708.5345061480157,3606.989167728713,2974.885102893415,2219.773464765041,2837.21672069997,1476.8830003606827,1844.927196317923,3499.953930821959,3818.842687673638,3070.0271957547784,1969.2808432566337,2137.2639346993833,1645.0780339169175,1089.9319800167254,3725.5454945513416,3413.9719100570123,2031.9573883830449,2925.559114627101,2546.848829609764,1321.1469498142494
MIW,2374.8205087001143,2394.0392654613174,2521.6677351736926,4376.770083711121,5306.997116041143,3644.46332749298,4452.831993832071,4814.940959605569,3194.4310116491447,4506.414831564055,3692.6343443827627,2510.983373004788,3874.3246102498533,1679.5677743301699,188.12430627785352,0.0,1660.7098337888556,2361.1460062474935,2332.3607254560516,4467.510648448893,420.63480303831204,1849.3030296089394,829.960595307311,1238.0886241753165,3627.4100535430607,3408.6514428318033,2827.8774921754366,2557.218677129223,4762.520281277607,1604.4439678062224,2495.1979529588407,2523.544099787185,2046.9663946792937,1543.3437905944486,2509.161321894295,2024.7645900539542,3909.8692987939266,3311.066097967716,3823.0204674236556,2864.379407610729,2299.5890702175,2008.945003100108,1830.2503359211341,1793.1556484271184,1867.8450172535722,807.1434778710887,3801.753226832768,3539.902933138292,721.1154644771256,3555.30996176952,2891.4825085174402,2265.0706780738305,2788.4126886362924,1417.9152788560784,2023.1128535538492,3444.259085948068,3772.499253832223,2971.1829640479614,1991.2667333830443,2058.530748410771,1515.8648096614095,1223.807287067966,3695.1776788103903,3339.9729805799543,2205.3733867933433,2863.8406091644238,2530.760825445548,1382.8311811490403
MIN,3742.8642028582117,3940.3902131392083,3382.909479792838,4310.086415390231,5209.167956238474,4923.326654634782,4311.145706808047,5434.582066216844,3256.849287626271,4428.455858156588,3723.259198991371,3687.24836826932,5382.167637800937,26.005262925980553,1848.3415447923996,1660.7098337888556,0.0,1008.1279860781534,1983.3725824474445,6036.615448634639,2015.5699252113286,1826.2460131842429,2489.3448179344664,2319.8636222764158,3441.9447446389927,3188.3250608811845,2134.685746421073,2156.5965985397183,6096.772109104631,3119.2541144824277,2715.68950762012,2574.277780294384,2511.8968167782446,2031.274937701157,2454.40993572891,1481.331502523331,3801.4496777173295,3085.2668888114476,3664.235647120945,2956.7197157107635,2884.4238353491055,1682.3553534857126,2223.7090222377506,3047.0475096268515,2438.700861888115,2427.6872246611383,3679.260351556325,3348.055386431591,1885.6996542413365,3360.184684257521,2509.2207857165195,3051.538441831426,2749.7057372870663,1784.595501168791,3613.495942000883,3228.2723796222167,3597.3279137246645,2416.464118427178,2683.9227268302357,1957.5239877300016,1205.4710036666106,2658.7622720387,3671.305415959666,2968.3271193114647,3764.180247122696,2693.3666460326162,2820.3690857960287,2466.482628953809
MSW,3956.9986634018533,4313.605692398783,3276.9356539379,3586.2662912811547,4429.900114571549,4983.256182964375,3552.7406809401277,5008.295899776609,2689.1659518412225,3692.770849573598,3089.859426995438,3758.6711136513295,5645.117414770857,982.8396549455814,2531.7740178712943,2361.146006247493,1008.1279860781536,0.0,1418.651830651338,6361.661428785253,2610.1201540158586,1549.2466192999436,3162.1223501247428,2543.438704997315,2722.7915488078115,2475.889133994448,1309.1868785114168,1507.4009036469904,7024.365816574533,3515.9518779445434,2325.9800063629273,2110.3431510801784,2317.26449505447,1997.576697007352,1951.9581765843297,996.1402970670647,3091.106493397995,2381.179213732979,2939.742284695693,2447.7858947012155,2683.9384883933876,1256.8160766212516,2065.2685236072207,3246.8945238662454,2327.36636919984,2996.940847979361,2971.4440080996023,2634.308680110988,2284.827836395001,2643.6343311008413,1798.5123643014965,2946.5056263632027,2198.1062970988633,1782.8718439854745,4060.2956819164583,2513.9566544271947,2870.122875515906,1623.2599237709965,2589.1478462920363,1572.2515066812823,1132.1182456505126,3040.4813267143386,3014.1066881477013,2201.7300400345725,4162.121197973436,2074.2157812654536,2452.307288952712,2656.6434010197568
AL,2941.4585079812186,3456.541726097459,2007.3564892944871,2331.8983412698285,3245.0823186666516,3760.0233903393078,2345.479799764099,3591.1386788117084,1295.898403638277,2452.831911772023,1743.1891302927067,2610.664327502119,4580.83997619022,1969.0833610957113,2426.8271541497975,2332.3607254560516,1983.3725824474448,1418.6518306513378,0.0,5334.535425568141,2343.1645615547404,524.00034179709,2900.8851104901228,1762.4020648626895,1470.8637345348511,1219.3639219843506,601.4370541197147,225.22794455477873,7023.062004902492,2777.3968424531945,930.1339492293961,695.6920355398236,1077.7974874912472,1059.9778542770223,533.5859052348063,502.5702849720155,1823.1994592201006,1114.9374125432944,1691.948918584633,1031.909909983099,1387.7285662828033,344.1726234428589,932.5769845093552,2294.2617389889037,1178.4597847993757,2599.9271858409425,1701.3490893149667,1376.3671402063321,1832.3459647950112,1389.456916347409,579.7692209745271,1706.351789094159,791.167919476568,1007.0546617629205,3324.896699521857,1259.2645147456135,1627.1195301778657,645.1922188567779,1406.4139873712977,349.2875857537647,912.8511675870193,2359.549988132508,1688.155229996511,1052.19674420483,3350.7368560840296,710.2103703559245,1060.6185815352649,1801.8981601231887
AK,2416.7992355097495,2096.2663933446206,3403.6158434102535,5394.102117920743,5843.46647416038,1810.8253153807138,5578.931147498649,3888.0167530150975,4847.7687047862255,5464.806339992027,4997.208398752185,2732.493358740502,761.9506922357835,6049.304161012791,4288.185183694101,4467.510648448894,6036.615448634639,6361.661428785253,5334.535425568141,0.0,4061.2759660443953,4931.024798560321,3733.4093341802795,3820.4320139011684,5386.2300006413525,5385.79601683221,5901.760932373151,5443.27209057026,4477.889249751397,2917.395269808845,4556.287936308469,4815.3793222563345,4258.961446229899,4399.891965591398,4968.555142576899,5488.26635880893,5325.549536110253,5368.8519305218415,5395.51487274235,4763.663743400806,3995.348165573879,5265.504866727967,4421.777196828844,3118.4565774534517,4162.402913827289,3660.380869168361,5320.333281908048,5372.5930135619865,4162.592609205863,5382.787565425127,5501.154416917427,3653.6522334119118,4968.446088351358,4590.146082096828,2444.5709230179077,5388.150650941944,5410.730581903476,5769.666967235046,3928.16869562018,5013.80758923983,5229.551474650519,3382.469897172305,5103.239080655394,5617.388161498167,2274.979975670665,5182.061587416105,4442.821220464847,3705.1430056815293
